Competitor ,Country_code,City_code,hex7_tag,Restaurant Name,,,Food tag 1,Schdeule,Min. Order Price,Delivery Cost,Restaurant Link,Created_at,Updated_at
tazz.ro,RO,CLJ,871e0b382ffffff,Antica Pizza,,,Italian ,Deschide la 11:00,20.00 Lei,Free Delivery,https://tazz.ro/cluj-napoca/antica-pizza/1097/partener,30/10/2020 13:27:38,30/10/2020 13:27:38
,,,,,,,,,,,,,
tazz.ro,RO,CLJ,871e0b382ffffff,Trattoria Sapori,,,InternaÈ›ional ,Deschide la 10:00,29.90 Lei,4.99  Lei,https://tazz.ro/cluj-napoca/trattoria-sapori/3416/partener,30/10/2020 13:27:39,30/10/2020 13:27:39
,,,,,,,,,,,,,
tazz.ro,RO,CLJ,871e0b382ffffff,Buzz Food Spot,,,InternaÈ›ional ,Deschide la 10:00,29.90 Lei,4.99  Lei,https://tazz.ro/cluj-napoca/buzz-food-spot/1377/partener,30/10/2020 13:27:39,30/10/2020 13:27:39
,,,,,,,,,,,,,
tazz.ro,RO,CLJ,871e0b382ffffff,Indigo,,,Asiatic ,Deschide la 10:30,35.00 Lei,Free Delivery,https://tazz.ro/cluj-napoca/indigo/1140/partener,30/10/2020 13:27:40,30/10/2020 13:27:40
,,,,,,,,,,,,,
tazz.ro,RO,CLJ,871e0b382ffffff,Ronin Sushi,,,Asiatic ,Deschide la 11:00,50.00 Lei,Free Delivery,https://tazz.ro/cluj-napoca/ronin-sushi/1221/partener,30/10/2020 13:27:41,30/10/2020 13:27:41
,,,,,,,,,,,,,
tazz.ro,RO,CLJ,871e0b382ffffff,Wasabi Sushi Delivery Cluj,,,Asiatic ,Deschide la 10:00,40.00 Lei,Free Delivery,https://tazz.ro/cluj-napoca/wasabi-sushi-delivery-cluj/1813/partener,30/10/2020 13:27:42,30/10/2020 13:27:42
,,,,,,,,,,,,,
tazz.ro,RO,CLJ,871e0b382ffffff,Restaurant Sinaia,,,InternaÈ›ional ,Deschide la 11:00,30.00 Lei,Free Delivery,https://tazz.ro/cluj-napoca/restaurant-sinaia/3451/partener,30/10/2020 13:27:43,30/10/2020 13:27:43
,,,,,,,,,,,,,
tazz.ro,RO,CLJ,871e0b382ffffff,Blidu` cu gust,,,RomÃ¢nesc ,Deschide la 10:00,29.90 Lei,4.99  Lei,https://tazz.ro/cluj-napoca/blidu-cu-gust/1810/partener,30/10/2020 13:27:44,30/10/2020 13:27:44
,,,,,,,,,,,,,
tazz.ro,RO,CLJ,871e0b382ffffff,Marty Delivery,,,InternaÈ›ional ,Deschide la 11:00,40.00 Lei,Free Delivery,https://tazz.ro/cluj-napoca/marty-delivery/1186/partener,30/10/2020 13:27:46,30/10/2020 13:27:46
,,,,,,,,,,,,,
tazz.ro,RO,CLJ,871e0b382ffffff,Garlic bites & tales,,,InternaÈ›ional ,Deschide la 10:30,29.90 Lei,4.99  Lei,https://tazz.ro/cluj-napoca/garlic-bites-tales/1405/partener,30/10/2020 13:27:47,30/10/2020 13:27:47
,,,,,,,,,,,,,
tazz.ro,RO,CLJ,871e0b382ffffff,Deliciul Urban Pizza&Food,,,InternaÈ›ional ,Deschide la 10:00,49.00 Lei,Free Delivery,https://tazz.ro/cluj-napoca/deliciul-urban-pizza-food/1210/partener,30/10/2020 13:27:48,30/10/2020 13:27:48
,,,,,,,,,,,,,
tazz.ro,RO,CLJ,871e0b382ffffff,Cut & Crust,,,Italian ,Deschide la 10:00,25.00 Lei,Free Delivery,https://tazz.ro/cluj-napoca/cut-crust/1142/partener,30/10/2020 13:27:49,30/10/2020 13:27:49
,,,,,,,,,,,,,
tazz.ro,RO,CLJ,871e0b382ffffff,New Croco Pizzerie&Restaurant,,,InternaÈ›ional ,Deschide la 10:00,40.00 Lei,Free Delivery,https://tazz.ro/cluj-napoca/new-croco-pizzerie-restaurant/1699/partener,30/10/2020 13:27:50,30/10/2020 13:27:50
,,,,,,,,,,,,,
tazz.ro,RO,CLJ,871e0b382ffffff,Gorgeous Restaurant,,,InternaÈ›ional ,Deschide la 10:00,29.90 Lei,4.99  Lei,https://tazz.ro/cluj-napoca/gorgeous-restaurant/3870/partener,30/10/2020 13:27:50,30/10/2020 13:27:50
,,,,,,,,,,,,,
tazz.ro,RO,CLJ,871e0b382ffffff,Lunchbox Iulius,,,InternaÈ›ional ,Deschide la 10:00,29.90 Lei,4.99  Lei,https://tazz.ro/cluj-napoca/lunchbox-iulius/1318/partener,30/10/2020 13:27:51,30/10/2020 13:27:51
,,,,,,,,,,,,,
tazz.ro,RO,CLJ,871e0b382ffffff,Caesar Cuisine,,,InternaÈ›ional ,Deschide la 10:00,29.90 Lei,4.99  Lei,https://tazz.ro/cluj-napoca/caesar-cuisine/1204/partener,30/10/2020 13:27:52,30/10/2020 13:27:52
,,,,,,,,,,,,,
tazz.ro,RO,CLJ,871e0b382ffffff,Marty Society,,,InternaÈ›ional ,Deschide la 11:00,40.00 Lei,FALSE,https://tazz.ro/cluj-napoca/marty-society/1185/partener,30/10/2020 13:27:53,30/10/2020 13:27:53
,,,,,,,,,,,,,
tazz.ro,RO,CLJ,871e0b382ffffff,Bistro 1568,,,InternaÈ›ional ,Deschide la 12:00,29.90 Lei,4.99  Lei,https://tazz.ro/cluj-napoca/bistro-1568/1085/partener,30/10/2020 13:27:54,30/10/2020 13:27:54
,,,,,,,,,,,,,
tazz.ro,RO,CLJ,871e0b382ffffff,Pokka,,,Mexican ,Deschide la 10:00,35.00 Lei,FALSE,https://tazz.ro/cluj-napoca/pokka/1091/partener,30/10/2020 13:27:55,30/10/2020 13:27:55
,,,,,,,,,,,,,
tazz.ro,RO,CLJ,871e0b382ffffff,Lunchbox Marasti,,,InternaÈ›ional ,Deschide la 10:00,29.90 Lei,4.99  Lei,https://tazz.ro/cluj-napoca/lunchbox-marasti/1314/partener,30/10/2020 13:27:56,30/10/2020 13:27:56
,,,,,,,,,,,,,
tazz.ro,RO,CLJ,871e0b382ffffff,Minus Gluten,,,InternaÈ›ional ,Deschide în 02.11 la 11:00,29.90 Lei,4.99  Lei,https://tazz.ro/cluj-napoca/minus-gluten/3180/partener,30/10/2020 13:27:57,30/10/2020 13:27:57
,,,,,,,,,,,,,
tazz.ro,RO,CLJ,871e0b382ffffff,Pizza Deville Delivery,,,Italian ,Deschide la 10:00,30.00 Lei,7.00  Lei,https://tazz.ro/cluj-napoca/pizza-deville-delivery/1223/partener,30/10/2020 13:27:58,30/10/2020 13:27:58
,,,,,,,,,,,,,
tazz.ro,RO,CLJ,871e0b382ffffff,New Age Pizza,,,InternaÈ›ional ,Deschide la 10:00,20.00 Lei,10.00  Lei,https://tazz.ro/cluj-napoca/new-age-pizza/1327/partener,30/10/2020 13:27:59,30/10/2020 13:27:59
,,,,,,,,,,,,,
tazz.ro,RO,CLJ,871e0b382ffffff,Apropo Bistro,,,InternaÈ›ional ,Deschide la 10:30,29.90 Lei,4.99  Lei,https://tazz.ro/cluj-napoca/apropo-bistro/1153/partener,30/10/2020 13:28:00,30/10/2020 13:28:00
,,,,,,,,,,,,,
