Competitor,Country Code,City Code,hex7_tag,Restaurant Name,Ratings,Reviews,Tag,Restaurant Time,Min. Order,Delivery Charges,Restaurant URL,Created_at,Updated_at
tazz.ro,RO,ORD,871e0aa9cffffff,Good fries,-.-,2,American ,Închide la 14:15,30 00 Lei,"5 00 								Lei",https://tazz.ro/oradea/good-fries/425/partener,5/1/2021 13:05,5/1/2021 13:05
tazz.ro,RO,ORD,871e0aa9cffffff,Food Box,4.9,31,InternaÈ›ional ,Închis,FALSE,"4 99 								Lei",https://tazz.ro/oradea/food-box/1036/partener,5/1/2021 13:05,5/1/2021 13:05
tazz.ro,RO,ORD,871e0aa9cffffff,American Grill,4.7,41,American ,Închide la 20:30,45 00 Lei,Free Delivery,https://tazz.ro/oradea/american-grill/135/partener,5/1/2021 13:06,5/1/2021 13:06
tazz.ro,RO,ORD,871e0aa9cffffff,Hanul cu Noroc,4.5,116,InternaÈ›ional ,Închide la 20:30,28 00 Lei,Free Delivery,https://tazz.ro/oradea/hanul-cu-noroc/1025/partener,5/1/2021 13:06,5/1/2021 13:06
tazz.ro,RO,ORD,871e0aa9cffffff,Spartan Auchan Oradea,4.4,35,Grecesc ,Închide la 21:00,FALSE,"4 99 								Lei",https://tazz.ro/oradea/spartan-auchan-oradea/1884/partener,5/1/2021 13:06,5/1/2021 13:06
tazz.ro,RO,ORD,871e0aa9cffffff,La MoroÈ™anu,4.3,25,InternaÈ›ional ,Închide la 20:00,FALSE,"4 99 								Lei",https://tazz.ro/oradea/la-morosanu/632/partener,5/1/2021 13:06,5/1/2021 13:06
tazz.ro,RO,ORD,871e0aa9cffffff,Kokolosh,4.1,20,European ,Închide la 14:00,FALSE,"4 99 								Lei",https://tazz.ro/oradea/kokolosh/649/partener,5/1/2021 13:06,5/1/2021 13:06
tazz.ro,RO,SBU,871ee50cbffffff,Restaurant Adi & Nicol,5,24,RomÃ¢nesc ,Deschide la 12:00,FALSE,"4 99 								Lei",https://tazz.ro/sibiu/restaurant-adi-nicol/4006/partener,5/1/2021 13:07,5/1/2021 13:07
tazz.ro,RO,SBU,871ee50cbffffff,Batranu` Sas Burger Grill Cibinium,4.9,134,InternaÈ›ional ,Închide la 19:00,FALSE,"4 99 								Lei",https://tazz.ro/sibiu/batranu-sas-burger-grill-cibinium/3798/partener,5/1/2021 13:07,5/1/2021 13:07
tazz.ro,RO,SBU,871ee50cbffffff,Cafe Wien,4.8,81,InternaÈ›ional ,Deschide la 12:00,FALSE,"8 00 								Lei",https://tazz.ro/sibiu/cafe-wien/4252/partener,5/1/2021 13:07,5/1/2021 13:07
tazz.ro,RO,SBU,871ee50cbffffff,Ruff Burger,4.8,18,InternaÈ›ional ,Închide la 22:30,14 99 Lei,"8 00 								Lei",https://tazz.ro/sibiu/ruff-burger/4248/partener,5/1/2021 13:07,5/1/2021 13:07
tazz.ro,RO,SBU,871ee50cbffffff,Rigatoni Pasta Bar Sibiu,4.4,7,Italian ,Închide la 21:45,50 00 Lei,"10 00 								Lei",https://tazz.ro/sibiu/rigatoni-pasta-bar-sibiu/3334/partener,5/1/2021 13:08,5/1/2021 13:08
tazz.ro,RO,SBU,871ee50cbffffff,Dirty Fries Sibiu,4.4,14,InternaÈ›ional ,Deschide la 12:00,100 00 Lei,Free Delivery,https://tazz.ro/sibiu/dirty-fries-sibiu/4186/partener,5/1/2021 13:08,5/1/2021 13:08
tazz.ro,RO,SBU,871ee50cbffffff,Chef Capone,4.4,59,InternaÈ›ional ,Închide la 21:00,FALSE,"4 99 								Lei",https://tazz.ro/sibiu/chef-capone/4102/partener,5/1/2021 13:08,5/1/2021 13:08
tazz.ro,RO,SBU,871ee50cbffffff,KFC Festival,4.3,209,American ,Închide la 20:45,30 00 Lei,Free Delivery,https://tazz.ro/sibiu/kfc-festival/2967/partener,5/1/2021 13:08,5/1/2021 13:08
tazz.ro,RO,SBU,871ee50cbffffff,Lili`s,4.3,24,InternaÈ›ional ,Deschide la 12:00,50 00 Lei,"3 99 								Lei",https://tazz.ro/sibiu/lili-s/4380/partener,5/1/2021 13:08,5/1/2021 13:08
tazz.ro,RO,SBU,871ee50cbffffff,KFC Nepi Sibiu,3.9,95,American ,Închide la 20:45,30 00 Lei,Free Delivery,https://tazz.ro/sibiu/kfc-nepi-sibiu/3740/partener,5/1/2021 13:08,5/1/2021 13:08
tazz.ro,RO,SBU,871ee50cbffffff,Don Pizzone,4.6,23,European ,Închide la 22:00,35 00 Lei,Free Delivery,https://tazz.ro/sibiu/don-pizzone/3520/partener,5/1/2021 13:08,5/1/2021 13:08
tazz.ro,RO,SBU,871ee50cbffffff,Super Mamma Dumbravii,4.6,113,RomÃ¢nesc ,Închide la 20:00,FALSE,"5 00 								Lei",https://tazz.ro/sibiu/super-mamma-dumbravii/4372/partener,5/1/2021 13:08,5/1/2021 13:08
tazz.ro,RO,SBU,871ee50cbffffff,Amber Caffe,4.3,13,InternaÈ›ional ,Închide la 20:00,FALSE,"4 99 								Lei",https://tazz.ro/sibiu/amber-caffe/4173/partener,5/1/2021 13:08,5/1/2021 13:08
tazz.ro,RO,SBU,871ee50cbffffff,100r Restaurant,4.2,13,InternaÈ›ional ,Deschide în 08.01 la 12:00,FALSE,"4 99 								Lei",https://tazz.ro/sibiu/100r-restaurant/3835/partener,5/1/2021 13:08,5/1/2021 13:08
tazz.ro,RO,SBU,871ee50cbffffff,Kulinarium,3.8,18,InternaÈ›ional ,Deschide la 12:00,FALSE,"5 00 								Lei",https://tazz.ro/sibiu/kulinarium/4092/partener,5/1/2021 13:08,5/1/2021 13:08
tazz.ro,RO,SBU,871ee50cbffffff,Zestrea Restaurant RomÃ¢nesc,3.4,8,RomÃ¢nesc ,Închide la 21:00,FALSE,"4 99 								Lei",https://tazz.ro/sibiu/zestrea-restaurant-romanesc/2980/partener,5/1/2021 13:08,5/1/2021 13:08
tazz.ro,RO,SBU,871ee50cbffffff,Crama Sibiana,-.-,3,RomÃ¢nesc ,Închide la 20:00,60 00 Lei,Free Delivery,https://tazz.ro/sibiu/crama-sibiana/4611/partener,5/1/2021 13:08,5/1/2021 13:08
tazz.ro,RO,SBU,871ee50cbffffff,Gogosh Coffee&Donuts,-.-,3,American ,Închide la 20:00,FALSE,"10 00 								Lei",https://tazz.ro/sibiu/gogosh-coffee-donuts/718/partener,5/1/2021 13:08,5/1/2021 13:08
tazz.ro,RO,SBU,871ee50cbffffff,Camara Boierului by Hilton,-.-,2,InternaÈ›ional ,Deschide la 12:00,FALSE,"10 00 								Lei",https://tazz.ro/sibiu/camara-boierului-by-hilton/4574/partener,5/1/2021 13:08,5/1/2021 13:08
